team,player
Liverpool,Naby Keita
Liverpool,Arthur
Liverpool,Curtis Jones
Liverpool,Harvey Elliott
Liverpool,Fabio Carvalho
Liverpool,Bobby Clark
Liverpool,Stefan Bajcetic
Liverpool,Alex Oxlade-Chamberlain
Liverpool,Roberto Firmino
Liverpool,Mohamed Salah
Liverpool,Diogo Jota
Liverpool,Cody Gakpo
Liverpool,Luis Diaz
Liverpool,Darwin Nunez
Tottenham Hotspur,Hugo Lloris
Tottenham Hotspur,Fraser Forster
Tottenham Hotspur,Alfie Whiteman
Tottenham Hotspur,Brandon Austin
Tottenham Hotspur,Ben Davies
Tottenham Hotspur,Eric Dier
Tottenham Hotspur,Clément Lenglet
Tottenham Hotspur,Davinson Sánchez
Tottenham Hotspur,Cristian Romero
Tottenham Hotspur,Japhet Tanganga
Tottenham Hotspur,Nile John
Tottenham Hotspur,Charlie Sayers
Tottenham Hotspur,Ivan Perisic
Tottenham Hotspur,Heung-Min Son
Tottenham Hotspur,Matt Doherty
Tottenham Hotspur,Pierre-Emile Højbjerg
Tottenham Hotspur,Rodrigo Bentancur
Tottenham Hotspur,Yves Bissouma
Tottenham Hotspur,Ryan Sessegnon
Tottenham Hotspur,Emerson Royal
Tottenham Hotspur,Oliver Skipp
Tottenham Hotspur,Djed Spence
Tottenham Hotspur,Dejan Kulusevski
Tottenham Hotspur,Pape Sarr
Tottenham Hotspur,Kallum Cesay
Tottenham Hotspur,Romaine Mundle
Tottenham Hotspur,Yago Santiago
Tottenham Hotspur,Alfie Devine
Tottenham Hotspur,Harry Kane
Tottenham Hotspur,Lucas Moura
Tottenham Hotspur,Richarlison
Tottenham Hotspur,Harvey White
Tottenham Hotspur,Bryan Gil
Tottenham Hotspur,Will Lankshear
Nottingham Forest,Wayne Hennessey
Nottingham Forest,Jordan Smith
Nottingham Forest,Dean Henderson
Nottingham Forest,Adnan Kanuric
Nottingham Forest,Steve Cook
Nottingham Forest,Serge Aurier
Nottingham Forest,Willy Boly
Nottingham Forest,Scott McKenna
Nottingham Forest,Harry Toffolo
Nottingham Forest,Moussa Niakhaté
Nottingham Forest,Joe Worrall
Nottingham Forest,Renan Lodi
Nottingham Forest,Omar Richards
Nottingham Forest,Loic Mbe Soh
Nottingham Forest,Giulian Biancone
Nottingham Forest,Neco Williams
Nottingham Forest,Cheikhou Kouyaté
Nottingham Forest,Harry Arter
Nottingham Forest,Jack Colback
Nottingham Forest,Remo Freuler
Nottingham Forest,Cafu
Nottingham Forest,Gustavo Scarpa
Nottingham Forest,Orel Mangala
Nottingham Forest,Ryan Yates
Nottingham Forest,Morgan Gibbs-White
Nottingham Forest,Lewis O'Brien
Nottingham Forest,Brandon Aguilera
Nottingham Forest,Oliver Hammond
Nottingham Forest,Lyle Taylor
Nottingham Forest,Jesse Lingard
Nottingham Forest,Taiwo Awoniyi
Nottingham Forest,Emmanuel Dennis
Nottingham Forest,Sam Surridge
Nottingham Forest,Brennan Johnson
Aston Villa,Robin Olsen
Aston Villa,Jed Steer
Aston Villa,Emiliano Martinez
Aston Villa,Ashley Young
Aston Villa,Lucas Digne
Aston Villa,Ludwig Augustinsson
Aston Villa,Tyrone Mings
Aston Villa,Calum Chambers
Aston Villa,Jan Bednarek
Aston Villa,Diego Carlos
Aston Villa,Ezri Konsa
Aston Villa,Matty Cash
Aston Villa,Josh Feeney
Aston Villa,Philippe Coutinho
Aston Villa,Morgan Sanson
Aston Villa,John McGinn
Aston Villa,Leander Dendoncker
Aston Villa,Marvelous Nakamba
Aston Villa,Emiliano Buendia
Aston Villa,Frédéric Guilbert
Aston Villa,Douglas Luiz
Aston Villa,Boubacar Kamara
Aston Villa,Jacob Ramsey
Aston Villa,Lamare Bogarde
Aston Villa,Danny Ings
Aston Villa,Ollie Watkins
Aston Villa,Leon Bailey
Everton,Andy Lonergan
Everton,Eldin Jakupovic
Everton,Asmir Begovic
Everton,Jordan Pickford
Everton,Seamus Coleman
Everton,James Tarkowski
Everton,Conor Coady
Everton,Michael Keane
Everton,Yerry Mina
Everton,Mason Holgate
Everton,Ben Godfrey
Everton,Vitalii Mykolenko
Everton,Nathan Patterson
Everton,Andros Townsend
Everton,Idrissa Gana Gueye
Everton,Abdoulaye Doucouré
Everton,Alex Iwobi
Everton,Tom Davies
Everton,Ruben Vinagre
Everton,Dwight McNeil
Everton,James Garner
Everton,Amadou Onana
Everton,Neal Maupay
Everton,Demarai Gray
Everton,Dominic Calvert-Lewin
Everton,Anthony Gordon
Everton,Ellis Simms
Manchester United,Tom Heaton
Manchester United,David De Gea
Manchester United,Jack Butland
Manchester United,Nathan Bishop
Manchester United,Phil Jones
Manchester United,Raphaël Varane
Manchester United,Harry Maguire
Manchester United,Victor Nilsson Lindelöf
Manchester United,Luke Shaw
Manchester United,Axel Tuanzebe
Manchester United,Diogo Dalot
Manchester United,Aaron Wan-Bissaka
Manchester United,Lisandro Martinez
Manchester United,Tyrell Malacia
Manchester United,Brandon Williams
Manchester United,Tyler Fredricson
Manchester United,Christian Eriksen
Manchester United,Casemiro
Manchester United,Fred
Manchester United,Bruno Fernandes
Manchester United,Donny van de Beek
Manchester United,Scott McTominay
Manchester United,Facundo Pellistri
Manchester United,Zidane Iqbal
Manchester United,Anthony Martial
Manchester United,Marcus Rashford
Manchester United,Jadon Sancho
Manchester United,Mason Greenwood
Manchester United,Antony
Manchester United,Anthony Elanga
Manchester United,Shola Shoretire
Manchester United,Alejandro Garnacho
